Pintu Masuk,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
A. Pintu Udara,270189,294147,312324,285113,321657,327611,369353,385538,318911,338085,321359,370881,294794,270702,324597,316141,346170,364887,426217,390155,331184,376600,346575,390712,340049,359018,423943,402118,431258,434110,486783,431164,401250,431614,396216,416954,394893,395228,420178,431339,417037,468813,543170,446871,471222,473750,459210,479549,460031,417115,453805,444598,469019,475928,520409,446606,499071,495817,498838,519868,449297,481181,507704,467817,503039,564997,545003,564762,578721,531645,591980,588254,544958,518574,546784,530165,551646,616754,589071,627366,597470,594312,553480,630352,514693,569113,568134,537918,553773,596079,617198,622058,661105,627112,553965,632243,548863,592968,631176,640094,661824,611469,785275,793587,760591,757044,706431,738303,746666,720428,749150,812927,809941,763470,1002611,1014475,883842,802479,701307,663359,643177,740440,845635,848734,805452,817405,1073385,1006054,911326,855240,716298,825635,706704,731517,758821,772038,711229,829067,975870,977033,900409,855796,777244,838978,821851,562150,255067,783,506,1463,4069,5728,9991,12280,16085,23599,1731,7110,12852,18326,14040,16234,7175,1609,4748,15722,19909,17786,14555,17834,39062,97401,183830,280482,387184,422500,424198,447074,429979,551927,484497,487449,554665,560434,659065,707476,819496,826446,777537,707584,656709,731293,631961,735072,682439,750085,835722,821654,994583,987547,941903,859747,756972,832865,801614,718609,669479,854756,941092,978929,1101619,1108133,996518,954216,805662,888664
Ngurah Rai,147319,159681,159886,154777,167342,178258,190662,195758,189247,189142,172813,176901,173919,146192,168036,188189,190697,200503,235042,232164,218245,225606,184622,221604,178358,191362,191125,184230,199401,224695,252110,243222,232516,229651,196856,222497,208337,201457,202539,224423,208832,245248,279219,252698,252855,244421,220341,248336,249728,209160,222950,222657,220508,241108,271371,253970,255717,252716,237874,264366,229561,236971,247024,239400,244874,275452,297723,309051,305429,266453,296990,292961,278685,269367,268418,277925,285965,329654,358907,336628,352017,339200,293858,341111,288755,333072,294758,309888,287141,357712,381890,298638,379397,366759,262180,363780,343663,367024,354778,367370,394443,405686,482201,437929,442304,423140,396150,437946,455930,448157,424134,477408,488698,505976,594238,601553,551968,464703,360043,309440,345191,443805,484846,516143,526281,540462,624263,571380,555888,515181,406679,495641,451708,436266,441707,476104,483928,549483,604310,602457,589984,565966,492904,544726,533392,358929,166388,273,34,10,16,12,8,7,2,127,2,12,3,9,8,1,0,0,0,2,6,0,0,1293,14617,58315,115553,181545,246442,276627,291115,305152,287025,376361,329909,317005,366956,410281,439454,478127,541272,522063,508297,458845,397522,478382,414937,454398,463804,502870,544492,520792,625569,613540,591848,554892,472714,548685,526831,444411,464697,587315,602055,637744,697068,682839,634482,594846,476507,558790
Soekarno-Hatta,101190,110477,123981,105338,122627,120270,145535,149635,97764,120683,117008,150209,92136,97985,121699,96709,119231,125111,150924,123405,87047,117911,127299,130983,117422,121727,183449,173906,183218,155951,180353,142050,125439,153300,147579,139242,138987,144299,160650,151989,150407,164689,200180,142974,169777,175068,171215,162787,156654,154698,165927,161005,185932,169682,190320,140077,182214,184894,185112,177335,160998,180453,186548,162682,179737,211118,188800,188854,201336,191460,199511,189005,187123,180362,194720,180787,184534,208624,169135,218903,174169,177274,180208,190598,165746,170741,203019,159873,189307,174319,175347,252914,212706,197487,216517,186299,153503,164317,202669,188369,187545,150956,217452,270496,229964,237914,219246,193629,203067,191933,222497,228611,220817,174669,297360,289000,227687,232014,231183,230483,210494,201981,244467,224978,191631,182887,322808,308698,250058,244775,206820,224989,174963,196183,214161,196977,156654,190031,267143,251596,211775,189231,183759,186723,186793,132490,53124,420,396,909,3119,4469,7468,9830,14309,21812,1238,5958,10188,15471,12775,13448,5466,1071,4081,13700,18971,16696,14073,15406,23320,36061,57844,85587,119179,121427,111033,112527,113729,124475,115101,124803,140859,99289,158550,161114,204000,218512,190058,181627,186695,172397,157979,187641,160917,157409,201574,225985,271680,272849,250852,218170,212178,207019,193433,199306,146390,186523,233751,236013,290369,304970,244404,254968,240330,230381
Juanda,927,1328,1686,1669,1697,1607,1952,2048,2109,2432,2032,2308,1981,1956,2274,2538,2543,2393,2970,3559,2633,2675,1923,2270,13889,12241,14455,12561,13459,15008,15941,14420,13171,12297,17255,14191,13580,13086,15317,14179,14894,16215,16788,16553,14264,15406,18650,16883,14200,14290,16257,16061,17017,17503,16036,16003,16065,17394,19995,16955,16869,16718,19113,17674,18128,19898,16897,18974,17250,19487,22986,21047,16870,16476,18776,19145,20299,18685,16174,18239,17124,17997,18324,19084,15366,14003,16338,16063,17355,15004,17134,18311,18167,15798,20449,16863,11674,14955,17894,18186,18386,14755,20424,19029,19907,20819,23126,21415,17279,11998,15844,21461,20447,19658,25252,25330,21890,20439,24360,23208,21532,19621,26391,26306,24420,27329,33390,34166,24835,25938,29992,26609,13792,17389,20497,18431,14529,22485,24913,29180,20462,20895,20780,20546,17119,11706,5765,25,12,97,76,24,20,37,69,85,20,69,52,106,160,181,52,10,2,37,0,0,0,0,57,1468,4598,4722,6087,8386,9152,9415,9644,14264,10777,11882,10606,12361,15734,18025,20303,25548,25593,21996,22389,23244,17196,28026,18543,29043,31222,25015,34446,38587,31700,28182,20820,19265,22119,19205,15647,24800,33409,34092,34421,37406,32664,29534,21629,25019
Kualanamu,8322,8581,9843,9180,11655,9698,11898,14890,8021,10477,11134,16512,11248,9133,13617,11481,13031,14166,13886,12043,9702,11861,12042,15983,11365,12625,14000,12326,13298,15499,15244,11447,12127,13520,14102,16857,12172,14270,15600,14998,16648,15979,17646,13225,14517,15392,19907,22296,15384,14843,19228,16383,18074,16634,15851,14767,16585,15285,21112,21699,14405,16419,17932,15011,20659,20729,15677,16275,18307,17404,24784,27948,19029,17780,18493,15956,19781,19376,16579,16901,17792,20946,22848,29243,17286,18082,17491,15167,17558,15479,15879,16490,14857,14160,16203,19166,10080,14851,15730,13280,15515,12746,17999,15890,19221,21300,21083,26252,18457,15680,20767,19273,19013,18464,20437,25201,19150,20738,23356,26015,15656,17740,21693,18538,14624,18153,22330,23753,19851,15744,21538,19966,16253,21815,21129,21613,15573,18935,20929,24623,18913,21518,20798,22431,19419,14309,7334,10,1,95,68,28,36,29,44,54,11,17,45,22,50,38,28,4,3,0,0,0,0,0,11,494,3861,5165,7518,10287,5895,11454,10615,19198,14146,15072,16106,15497,16262,16527,17478,20843,15783,14161,16363,18237,14751,24628,15068,25178,20469,16949,22693,21930,24956,20129,19145,21142,23011,22546,16881,19709,26183,25183,28306,29858,29107,24621,20826,23425
Husein Sastranegara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6444,6809,7155,6885,8156,7680,8409,7218,5227,9570,6321,10404,9383,8747,9057,9732,9397,11079,11806,6507,6916,9126,11155,12380,9600,10667,13101,12639,12597,15417,11642,7084,13577,7366,14901,18145,13782,11966,16745,13921,17968,16498,7667,8720,14658,12072,18116,24205,16257,14560,21463,13490,14588,16899,6166,10545,14068,15018,16539,20799,10373,13008,15130,16884,18902,15314,6619,10323,10531,10722,14858,16983,10964,8402,15828,30806,16699,8881,9453,12500,14995,17340,12755,22410,8518,13257,17256,16029,15275,8174,11967,15063,13971,14002,15387,17958,11463,12212,15657,14163,10453,6401,12751,13697,13328,13850,14280,17311,12524,15127,16342,14738,8029,8652,12581,13984,12869,13420,14616,14951,12882,12494,5780,0,0,0,0,0,23,15,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,49,21,15,0,0,0,0,0,0,0,0,17,24,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adi Sucipto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,4006,4467,3733,5170,4747,4576,4188,3488,4419,1254,3267,2990,3344,5187,4651,5106,3700,4519,3826,2672,3417,4851,3897,3795,3447,4253,4505,4925,4444,4520,4910,4386,6205,6598,6938,4251,5558,6309,6595,7044,6538,6697,8219,6556,7916,9482,10855,8855,6132,8234,7569,8679,7061,5394,8488,5221,7932,7172,8419,4614,5379,5799,5871,8152,5710,4852,6502,8479,7442,8568,9910,6415,7899,6805,7223,10919,6853,11177,11718,10696,11267,10209,10877,9192,8963,11807,13224,11608,7559,14181,15786,13834,13535,11781,14203,10849,12602,14055,11435,9584,7547,13642,13468,12553,11613,10661,10813,8055,9604,10550,9922,6664,6583,10480,12013,10609,9535,9218,9795,8386,7101,3159,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,260,369,809,640,974,1933,1947,5169,3878,4839,5007,5592,8160,11188,12444,12974,11855,8536,9675,11338,6879,9813,6258,8790,11323,8134,11120,10136,9621,7828,6728,7167,6717,6087,3185,7135,9699,10424,11322,12554,10960,8712,8005,8017
Bandara Int. Lombok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,974,1293,1319,1170,1585,2134,2171,1340,1459,1253,1863,1164,835,1315,1639,1698,1683,2182,1506,1216,1629,1368,1703,1230,871,1348,1482,942,1384,1219,996,1037,2251,1745,2527,1077,1734,2258,2284,2434,2711,2444,3246,3829,5294,5386,7683,5105,4862,5987,5413,6499,6071,6582,7259,6532,5438,3748,6385,2793,4348,6004,5725,5713,4410,5316,8089,7440,7419,4477,8483,5162,6184,7356,5407,7634,4452,9653,9127,8756,9500,7813,9694,9394,8775,11305,13204,11792,9201,12468,12207,10032,10070,7704,7236,5986,5800,9880,10644,7512,8859,13980,4308,3866,3515,2306,3151,2126,3590,3568,5143,2884,6127,5306,6622,6552,5711,4635,5499,6331,4224,1954,10,0,19,7,2,0,0,1,2,1,0,2,0,0,0,0,26,0,0,0,0,0,488,12,0,487,1011,1658,2054,2251,2226,1921,2914,2202,2355,2099,2903,4848,5721,6433,6245,6294,5904,5278,7304,4958,7748,5208,6536,7742,6893,8652,8122,7461,7169,4947,6108,6295,4926,5441,7812,8641,7784,10512,10207,9333,9321,6689,7714
Sam Ratulangi,9043,10403,11485,10597,12646,12416,14006,18171,17363,11011,13858,15727,10665,9916,13061,11582,13448,14879,14810,15661,10381,12630,16413,14630,1841,2308,1602,1445,1602,1590,1776,1689,1561,1847,1477,1482,1050,1264,1778,1764,1436,1513,2011,2199,1927,2100,1425,1607,1827,1171,1579,1669,1442,1636,1763,1503,1679,1867,1364,1611,1108,1552,1695,1763,1693,1740,1803,1622,1891,1923,1627,1500,1694,1079,1340,1079,1365,1487,1652,1854,1652,1642,943,1492,2248,3374,1171,1044,1011,1007,2089,2247,1410,1297,1428,1139,625,1535,1297,1427,1018,1295,7677,7904,5965,3791,4270,3820,7697,5149,5168,5927,5632,4708,7330,8906,6335,7714,6493,8616,8507,10794,10114,10201,9405,10107,11875,15448,12730,8343,5735,8845,10905,11305,10761,11574,9755,8339,11203,14171,11874,10394,9261,10743,12517,928,566,0,0,267,693,912,2174,2178,1577,1469,433,1027,2513,2685,1015,2435,695,5,593,1952,851,1035,466,647,1045,851,843,1472,1684,1758,2178,1581,1721,1142,803,1848,4793,4156,3798,3691,3782,5397,5922,4645,4611,3917,3384,2615,4045,3451,3427,3424,4743,4436,4791,4674,4532,4097,3788,3497,4403,4070,3902,3742,5903,5656,5600,6513,7401,7020
